parent_notice,ark_periodique,ark,numero,gallica_url,text_brut,ark,date
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54196019g,30 août 1924,https://gallica.bnf.fr/ark:/12148/bd6t54196019g,https://gallica.bnf.fr/ark:/12148/bd6t54196019g.texteBrut,ark:/12148/bd6t54196019g,1924-08-30
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t541960204,06 septembre 1924,https://gallica.bnf.fr/ark:/12148/bd6t541960204,https://gallica.bnf.fr/ark:/12148/bd6t541960204.texteBrut,ark:/12148/bd6t541960204,1924-09-06
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54196021j,13 septembre 1924,https://gallica.bnf.fr/ark:/12148/bd6t54196021j,https://gallica.bnf.fr/ark:/12148/bd6t54196021j.texteBrut,ark:/12148/bd6t54196021j,1924-09-13
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54196022z,20 septembre 1924,https://gallica.bnf.fr/ark:/12148/bd6t54196022z,https://gallica.bnf.fr/ark:/12148/bd6t54196022z.texteBrut,ark:/12148/bd6t54196022z,1924-09-20
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54196023c,27 septembre 1924,https://gallica.bnf.fr/ark:/12148/bd6t54196023c,https://gallica.bnf.fr/ark:/12148/bd6t54196023c.texteBrut,ark:/12148/bd6t54196023c,1924-09-27
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54196024s,04 octobre 1924,https://gallica.bnf.fr/ark:/12148/bd6t54196024s,https://gallica.bnf.fr/ark:/12148/bd6t54196024s.texteBrut,ark:/12148/bd6t54196024s,1924-10-04
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t541960256,11 octobre 1924,https://gallica.bnf.fr/ark:/12148/bd6t541960256,https://gallica.bnf.fr/ark:/12148/bd6t541960256.texteBrut,ark:/12148/bd6t541960256,1924-10-11
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54196026m,18 octobre 1924,https://gallica.bnf.fr/ark:/12148/bd6t54196026m,https://gallica.bnf.fr/ark:/12148/bd6t54196026m.texteBrut,ark:/12148/bd6t54196026m,1924-10-18
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t541960271,25 octobre 1924,https://gallica.bnf.fr/ark:/12148/bd6t541960271,https://gallica.bnf.fr/ark:/12148/bd6t541960271.texteBrut,ark:/12148/bd6t541960271,1924-10-25
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54204718m,15 novembre 1924,https://gallica.bnf.fr/ark:/12148/bd6t54204718m,https://gallica.bnf.fr/ark:/12148/bd6t54204718m.texteBrut,ark:/12148/bd6t54204718m,1924-11-15
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54196028f,22 novembre 1924,https://gallica.bnf.fr/ark:/12148/bd6t54196028f,https://gallica.bnf.fr/ark:/12148/bd6t54196028f.texteBrut,ark:/12148/bd6t54196028f,1924-11-22
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54196029v,29 novembre 1924,https://gallica.bnf.fr/ark:/12148/bd6t54196029v,https://gallica.bnf.fr/ark:/12148/bd6t54196029v.texteBrut,ark:/12148/bd6t54196029v,1924-11-29
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t541957630,06 décembre 1924,https://gallica.bnf.fr/ark:/12148/bd6t541957630,https://gallica.bnf.fr/ark:/12148/bd6t541957630.texteBrut,ark:/12148/bd6t541957630,1924-12-06
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54195764d,13 décembre 1924,https://gallica.bnf.fr/ark:/12148/bd6t54195764d,https://gallica.bnf.fr/ark:/12148/bd6t54195764d.texteBrut,ark:/12148/bd6t54195764d,1924-12-13
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54195765t,20 décembre 1924,https://gallica.bnf.fr/ark:/12148/bd6t54195765t,https://gallica.bnf.fr/ark:/12148/bd6t54195765t.texteBrut,ark:/12148/bd6t54195765t,1924-12-20
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t53862999,01 janvier 1952,https://gallica.bnf.fr/ark:/12148/bd6t53862999,https://gallica.bnf.fr/ark:/12148/bd6t53862999.texteBrut,ark:/12148/bd6t53862999,1952-01-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t53863003,01 février 1952,https://gallica.bnf.fr/ark:/12148/bd6t53863003,https://gallica.bnf.fr/ark:/12148/bd6t53863003.texteBrut,ark:/12148/bd6t53863003,1952-02-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t5386301g,01 mars 1952,https://gallica.bnf.fr/ark:/12148/bd6t5386301g,https://gallica.bnf.fr/ark:/12148/bd6t5386301g.texteBrut,ark:/12148/bd6t5386301g,1952-03-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t5386302v,01 mai 1952,https://gallica.bnf.fr/ark:/12148/bd6t5386302v,https://gallica.bnf.fr/ark:/12148/bd6t5386302v.texteBrut,ark:/12148/bd6t5386302v,1952-05-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t53863037,01 juin 1952,https://gallica.bnf.fr/ark:/12148/bd6t53863037,https://gallica.bnf.fr/ark:/12148/bd6t53863037.texteBrut,ark:/12148/bd6t53863037,1952-06-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t5386304m,01 juillet 1952,https://gallica.bnf.fr/ark:/12148/bd6t5386304m,https://gallica.bnf.fr/ark:/12148/bd6t5386304m.texteBrut,ark:/12148/bd6t5386304m,1952-07-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t53863050,01 août 1952,https://gallica.bnf.fr/ark:/12148/bd6t53863050,https://gallica.bnf.fr/ark:/12148/bd6t53863050.texteBrut,ark:/12148/bd6t53863050,1952-08-01
34348401,ark:/12148/cb34420609s/date,ark:/12148/bd6t5386306c,01 novembre 1952,https://gallica.bnf.fr/ark:/12148/bd6t5386306c,https://gallica.bnf.fr/ark:/12148/bd6t5386306c.texteBrut,ark:/12148/bd6t5386306c,1952-11-01
